:START_ID,:END_ID,:TYPE
context-compression,autocompact,MENTIONS
context-compression,context-governance,MENTIONS
context-compression,lost-in-the-middle,RELATED_TO
context-governance,input-budget,HAS_SUBCONCEPT
context-governance,orphan-tool-result,HAS_SUBCONCEPT
context-window,token,MENTIONS
context-window,context-compression,RELATED_TO
context-window,lost-in-the-middle,RELATED_TO
contextvar,workspace-access,MENTIONS
cron,cron-job,HAS_SUBCONCEPT
cron,cron-tool,HAS_SUBCONCEPT
cron,cron-turns,HAS_SUBCONCEPT
cron,croniter,HAS_SUBCONCEPT
cron,cronservice,HAS_SUBCONCEPT
cron,heartbeat,HAS_SUBCONCEPT
cron,dream,RELATED_TO
cron,heartbeat,RELATED_TO
cron-job,cron-tool,MENTIONS
cron-job,cron-store,RELATED_TO
cron-tool,cron-job,MENTIONS
cron-turns,automation-turns,RELATED_TO
croniter,asyncio,MENTIONS
croniter,cronservice,MENTIONS
cronservice,bound-runner,HAS_SUBCONCEPT
cronservice,cron-store,HAS_SUBCONCEPT
cronservice,cron-job,MENTIONS
cronservice,gateway,MENTIONS
ddgs,web-tools,MENTIONS
defense-in-depth,dns-pinning,MENTIONS
defense-in-depth,ssrf,MENTIONS
defense-in-depth,timeout,MENTIONS
defense-in-depth,workspace-policy,MENTIONS
defense-in-depth,least-privilege,RELATED_TO
delta,agentrunner,MENTIONS
dns-pinning,pinneddnsasynctransport,HAS_SUBCONCEPT
dns-pinning,dns-rebinding,MENTIONS
dns-rebinding,dns-pinning,MENTIONS
dns-rebinding,toctou,MENTIONS
dream,dream-cursor,HAS_SUBCONCEPT
dream,durable-files,MENTIONS
dream,git,MENTIONS
dream,historyjsonl,MENTIONS
dream,reflection,MENTIONS
dream,least-privilege,RELATED_TO
dulwich,git,RELATED_TO
durable-files,memorymd,HAS_SUBCONCEPT
durable-files,soulmd,HAS_SUBCONCEPT
durable-files,usermd,HAS_SUBCONCEPT
durable-files,dream,MENTIONS
entry-point-plugin,entry-points,RELATED_TO
entry-points,entry-point-plugin,RELATED_TO
entry-points,hatchling,RELATED_TO
exact-pinning,optional-dependencies,RELATED_TO
exec-session,writestdintool,HAS_SUBCONCEPT
exectool,exec-session,HAS_SUBCONCEPT
exectool,sandbox-backend,MENTIONS
exectool,timeout,MENTIONS
exectool,bubblewrap,RELATED_TO
exectool,exec-session,RELATED_TO
fallbackprovider,circuit-breaker,HAS_SUBCONCEPT
fallbackprovider,context-window,MENTIONS
fallbackprovider,model-routing,MENTIONS
file-state,_skip_modules,MENTIONS
filesystem-tools,apply_patch,HAS_SUBCONCEPT
filesystem-tools,file-state,HAS_SUBCONCEPT
filesystem-tools,path-utils,HAS_SUBCONCEPT
filesystem-tools,workspace-policy,MENTIONS
filesystem-tools,apply_patch,RELATED_TO
filesystem-tools,path-utils,RELATED_TO
fine-tuning,reflection,RELATED_TO
gateway,gateway-service,HAS_SUBCONCEPT
gateway,agentloop,MENTIONS
gateway,cronservice,MENTIONS
gateway,health-endpoint,MENTIONS
gateway,channel,RELATED_TO
gateway,cron,RELATED_TO
gateway-service,health-endpoint,HAS_SUBCONCEPT
git,dream,MENTIONS
git,dulwich,RELATED_TO
hallucination,dream,MENTIONS
hatchling,webui,MENTIONS
hatchling,entry-points,RELATED_TO
heartbeat,heartbeatmd,HAS_SUBCONCEPT
heartbeat,llm,MENTIONS
heartbeat,messagetool,MENTIONS
heartbeat,session,MENTIONS
heartbeat,sustained-goal,RELATED_TO
hierarchical-memory,durable-files,MENTIONS
hierarchical-memory,memory,RELATED_TO
historyjsonl,dream,MENTIONS
historyjsonl,durable-files,MENTIONS
historyjsonl,hierarchical-memory,MENTIONS
historyjsonl,dream-cursor,RELATED_TO
historyjsonl,jsonl,RELATED_TO
hook,progress-hook,HAS_SUBCONCEPT
hook,sdk-clients,MENTIONS
httpx,pinneddnsasynctransport,MENTIONS
httpx,websockets,RELATED_TO
image-generation-provider,image-generation-tool,MENTIONS
image-generation-tool,image-generation-provider,MENTIONS
in-context-learning,memory,MENTIONS
in-context-learning,skill,MENTIONS
in-context-learning,fine-tuning,RELATED_TO
inboundmessage,channel,MENTIONS
inboundmessage,outboundmessage,RELATED_TO
inboundmessage,session-key,RELATED_TO
injection,prompt-injection,MENTIONS
input-budget,max_tokens,MENTIONS
input-budget,token,MENTIONS
input-budget,context-window,RELATED_TO
jinja2,system-prompt,MENTIONS
jinja2,bootstrap-templates,RELATED_TO
json-rpc,lsp,MENTIONS
jsonl,historyjsonl,RELATED_TO
jsonl,session-manager,RELATED_TO
least-privilege,tool-scope,MENTIONS
least-privilege,workspace-policy,MENTIONS
least-privilege,defense-in-depth,RELATED_TO
linux-namespaces,seccomp,HAS_SUBCONCEPT
linux-namespaces,bubblewrap,MENTIONS
linux-namespaces,container,MENTIONS
llm,context-window,HAS_SUBCONCEPT
llm,hallucination,HAS_SUBCONCEPT
llm,token,HAS_SUBCONCEPT
llm,prompt,MENTIONS
llm,tool-calling,MENTIONS
llm,provider,RELATED_TO
long-task-tool,runtime-context,MENTIONS
long-task-tool,sustained-goal,MENTIONS
long-task-tool,goal-state,RELATED_TO
lost-in-the-middle,context-compression,RELATED_TO
lsp,json-rpc,MENTIONS
lsp,mcp,RELATED_TO
max_tokens,input-budget,MENTIONS
max_tokens,token,MENTIONS
max_tokens,context-window,RELATED_TO
mcp,json-rpc,HAS_SUBCONCEPT
mcp,mcptoolwrapper,HAS_SUBCONCEPT
mcp,stdio-transport,HAS_SUBCONCEPT
mcp,streamable-http,HAS_SUBCONCEPT
mcp,lsp,RELATED_TO
mcp,tool-calling,RELATED_TO
mcptoolwrapper,pinneddnsasynctransport,MENTIONS
mcptoolwrapper,sse,MENTIONS
mcptoolwrapper,stdio-transport,MENTIONS
memory,dream,HAS_SUBCONCEPT
memory,durable-files,HAS_SUBCONCEPT
memory,historyjsonl,HAS_SUBCONCEPT
memory,git,MENTIONS
memory,hierarchical-memory,RELATED_TO
memorymd,hierarchical-memory,MENTIONS
messagebus,inboundmessage,HAS_SUBCONCEPT
messagebus,outboundmessage,HAS_SUBCONCEPT
messagebus,asyncioqueue,MENTIONS
messagebus,asyncio,RELATED_TO
messagebus,channel,RELATED_TO
messagetool,heartbeat,MENTIONS
model-preset,dream,MENTIONS
model-preset,model-routing,MENTIONS
model-preset,provider,RELATED_TO
model-preset,temperature,RELATED_TO
model-routing,fallbackprovider,MENTIONS
model-routing,model-preset,MENTIONS
model-routing,circuit-breaker,RELATED_TO
mytool,runtime-state-protocol,HAS_SUBCONCEPT
mytool,agentloop,MENTIONS
mytool,runtime-state-protocol,RELATED_TO
nanobot-sdk-facade,sdk-clients,HAS_SUBCONCEPT
nanobot-sdk-facade,agentloop,RELATED_TO
nanobot-sdk-facade,sdk-clients,RELATED_TO
openai-compatible-api,openai-compatible-provider,RELATED_TO
openai-compatible-provider,openai-compatible-api,RELATED_TO
optional-dependencies,exact-pinning,RELATED_TO
optional-dependencies,platform-channels,RELATED_TO
orphan-tool-result,provider,MENTIONS
orphan-tool-result,tool-calling,RELATED_TO
outboundmessage,channel,MENTIONS
outboundmessage,inboundmessage,RELATED_TO
pairing,channel,RELATED_TO
pinneddnsasynctransport,httpx,MENTIONS
pinneddnsasynctransport,mcptoolwrapper,MENTIONS
pinneddnsasynctransport,web-tools,MENTIONS
pkgutil,tool-discovery,MENTIONS
platform-channels,optional-dependencies,RELATED_TO
progress-hook,tool-hint,HAS_SUBCONCEPT
progress-hook,webui,MENTIONS
progressive-disclosure,context-window,MENTIONS
progressive-disclosure,context-compression,RELATED_TO
prompt,system-prompt,HAS_SUBCONCEPT
prompt,llm,MENTIONS
prompt,context,RELATED_TO
prompt-caching,runtime-context,MENTIONS
prompt-caching,context,RELATED_TO
prompt-injection,injection,MENTIONS
prompt-injection,sandbox,MENTIONS
prompt-injection,defense-in-depth,RELATED_TO
prompt-toolkit,questionary,HAS_SUBCONCEPT
prompt-toolkit,questionary,RELATED_TO
provider,fallbackprovider,HAS_SUBCONCEPT
provider,image-generation-provider,HAS_SUBCONCEPT
provider,provider-base,HAS_SUBCONCEPT
provider,provider-factory,HAS_SUBCONCEPT
provider,provider-registry,HAS_SUBCONCEPT
provider,transcription,HAS_SUBCONCEPT
provider,anthropic-provider,MENTIONS
provider,model-preset,RELATED_TO
provider,model-routing,RELATED_TO
provider-base,anthropic-provider,HAS_SUBCONCEPT
provider-base,azure-openai-provider,HAS_SUBCONCEPT
provider-base,bedrock-provider,HAS_SUBCONCEPT
provider-base,github-copilot-provider,HAS_SUBCONCEPT
provider-base,openai-codex-provider,HAS_SUBCONCEPT
provider-base,openai-compatible-provider,HAS_SUBCONCEPT
provider-base,openai-responses-provider,HAS_SUBCONCEPT
provider-base,retry,HAS_SUBCONCEPT
provider-base,transient-error,MENTIONS
provider-factory,config,MENTIONS
provider-factory,fallbackprovider,MENTIONS
provider-registry,providerspec,HAS_SUBCONCEPT
provider-registry,provider-factory,RELATED_TO
pth-file-guard,defense-in-depth,RELATED_TO
pydantic,camelcase-alias,HAS_SUBCONCEPT
pydantic,pydantic-settings,HAS_SUBCONCEPT
pytest,ruff,RELATED_TO
python-311,asyncio,HAS_SUBCONCEPT
python-311,contextvar,HAS_SUBCONCEPT
python-311,pkgutil,HAS_SUBCONCEPT
react,tool-calling,MENTIONS
react-js,webui,MENTIONS
react-js,typescript,RELATED_TO
reasoning-blocks,prompt,RELATED_TO
reasoning-blocks,streaming,RELATED_TO
reflection,dream,MENTIONS
reflection,skill-library,RELATED_TO
retry,exponential-backoff,HAS_SUBCONCEPT
retry,transient-error,RELATED_TO
rich,prompt-toolkit,RELATED_TO
ruff,pytest,RELATED_TO
runtime-checkpoint,turn-continuation,RELATED_TO
runtime-checkpoint,turnstate,RELATED_TO
runtime-context,prompt-caching,MENTIONS
runtime-context,sustained-goal,MENTIONS
runtime-state-protocol,agentloop,MENTIONS
sandbox,bubblewrap,HAS_SUBCONCEPT
sandbox,sandbox-backend,HAS_SUBCONCEPT
sandbox,exectool,MENTIONS
sandbox,defense-in-depth,RELATED_TO
sandbox-backend,container,MENTIONS
session,autocompact,HAS_SUBCONCEPT
session,history-visibility,HAS_SUBCONCEPT
session,session-key,HAS_SUBCONCEPT
session,session-manager,HAS_SUBCONCEPT
session,unified-session,HAS_SUBCONCEPT
session,webui-turn-coordinator,HAS_SUBCONCEPT
session,jsonl,MENTIONS
session,autocompact,RELATED_TO
session,workspace,RELATED_TO
session-delivery,channel,MENTIONS
session-key,inboundmessage,RELATED_TO
session-key,unified-session,RELATED_TO
session-manager,last_consolidated-cursor,HAS_SUBCONCEPT
skill,progressive-disclosure,HAS_SUBCONCEPT
skill,skill-creator,HAS_SUBCONCEPT
skill,skillmd,HAS_SUBCONCEPT
skill,skillsloader,HAS_SUBCONCEPT
skill,tool,MENTIONS
skill,skill-library,RELATED_TO
skill-creator,reflection,MENTIONS
skill-creator,voyager,MENTIONS
skill-library,agent-skills,HAS_SUBCONCEPT
skill-library,voyager,HAS_SUBCONCEPT
skill-library,skill-creator,MENTIONS
skillmd,agent-skills,MENTIONS
skillsloader,progressive-disclosure,MENTIONS
skillsloader,skillmd,MENTIONS
slash-command,llm,MENTIONS
sliding-window,autocompact,MENTIONS
soulmd,dream,MENTIONS
soulmd,system-prompt,MENTIONS
sse,mcp,MENTIONS
sse,streamable-http,RELATED_TO
ssrf,dns-rebinding,HAS_SUBCONCEPT
ssrf,web-tools,RELATED_TO
stdio-transport,json-rpc,MENTIONS
streaming,delta,HAS_SUBCONCEPT
streaming,fallbackprovider,RELATED_TO
streaming,sse,RELATED_TO
subagent,spawntool,HAS_SUBCONCEPT
subagent,tool-scope,MENTIONS
subagent,spawntool,RELATED_TO
summarization,consolidation,MENTIONS
sustained-goal,goal-state,HAS_SUBCONCEPT
sustained-goal,long-task-tool,MENTIONS
sustained-goal,runtime-context,MENTIONS
sustained-goal,turn,MENTIONS
sustained-goal,heartbeat,RELATED_TO
system-prompt,bootstrap-templates,HAS_SUBCONCEPT
system-prompt,jinja2,MENTIONS
system-prompt,bootstrap-templates,RELATED_TO
temperature,max_tokens,RELATED_TO
tiktoken,bpe,MENTIONS
tiktoken,input-budget,RELATED_TO
timeout,defense-in-depth,MENTIONS
timeout,exectool,MENTIONS
timeout,sandbox,RELATED_TO
toctou,dns-rebinding,MENTIONS
toctou,dns-pinning,RELATED_TO
token,tokenizer,HAS_SUBCONCEPT
token,context-window,MENTIONS
token,input-budget,MENTIONS
tokenizer,bpe,HAS_SUBCONCEPT
tokenizer,tiktoken,HAS_SUBCONCEPT
tool,cron-tool,HAS_SUBCONCEPT
tool,exectool,HAS_SUBCONCEPT
tool,filesystem-tools,HAS_SUBCONCEPT
tool,image-generation-tool,HAS_SUBCONCEPT
tool,long-task-tool,HAS_SUBCONCEPT
tool,mcptoolwrapper,HAS_SUBCONCEPT
tool,messagetool,HAS_SUBCONCEPT
tool,mytool,HAS_SUBCONCEPT
tool,spawntool,HAS_SUBCONCEPT
tool,tool-schema,HAS_SUBCONCEPT
tool,toolregistry,HAS_SUBCONCEPT
tool,toolresult,HAS_SUBCONCEPT
tool,web-tools,HAS_SUBCONCEPT
tool,llm,MENTIONS
tool,mcp,RELATED_TO
tool,tool-calling,RELATED_TO
tool-calling,json-schema,HAS_SUBCONCEPT
tool-calling,mcp,RELATED_TO
tool-calling,tool,RELATED_TO
tool-discovery,_skip_modules,HAS_SUBCONCEPT
tool-discovery,entry-point-plugin,HAS_SUBCONCEPT
tool-discovery,pkgutil,MENTIONS
tool-hint,webui,MENTIONS
tool-schema,provider,MENTIONS
tool-schema,json-schema,RELATED_TO
tool-scope,least-privilege,MENTIONS
tool-scope,subagent,MENTIONS
toolregistry,tool-discovery,HAS_SUBCONCEPT
toolregistry,tool-scope,HAS_SUBCONCEPT
toolregistry,mcptoolwrapper,MENTIONS
toolregistry,agentrunner,RELATED_TO
toolresult,tool-calling,RELATED_TO
transcription,channel,MENTIONS
transient-error,rate-limit,HAS_SUBCONCEPT
transient-error,fallbackprovider,RELATED_TO
transient-error,retry,RELATED_TO
trigger,cron,RELATED_TO
turn,turn-continuation,HAS_SUBCONCEPT
turn,turnstate,HAS_SUBCONCEPT
turn,agentrunner,MENTIONS
turn,llm,MENTIONS
turn,tool,MENTIONS
turn,session,RELATED_TO
turn-continuation,runtime-checkpoint,RELATED_TO
turnstate,runtime-checkpoint,RELATED_TO
typer,rich,RELATED_TO
typescript,webui,MENTIONS
typescript,react-js,RELATED_TO
unified-session,channel,RELATED_TO
unified-session,session-key,RELATED_TO
vite,webui,MENTIONS
vite,react-js,RELATED_TO
web-tools,ddgs,MENTIONS
web-tools,dns-pinning,MENTIONS
web-tools,httpx,RELATED_TO
websocket-channel,websocket-multiplex-protocol,HAS_SUBCONCEPT
websocket-channel,websockets,MENTIONS
websocket-multiplex-protocol,tool-hint,MENTIONS
websocket-multiplex-protocol,webui-turn-coordinator,MENTIONS
websockets,websocket-channel,MENTIONS
websockets,httpx,RELATED_TO
webui,bun,MENTIONS
webui,react-js,MENTIONS
webui,typescript,MENTIONS
webui,vite,MENTIONS
webui,gateway,RELATED_TO
webui,websocket-channel,RELATED_TO
webui-turn-coordinator,webui,MENTIONS
webui-turn-coordinator,websocket-channel,RELATED_TO
workspace,durable-files,MENTIONS
workspace,jsonl,MENTIONS
workspace,memory,MENTIONS
workspace,sandbox,MENTIONS
workspace,skill,MENTIONS
workspace,workspace-policy,RELATED_TO
workspace-access,contextvar,MENTIONS
workspace-policy,workspace-access,HAS_SUBCONCEPT
workspace-policy,sandbox,MENTIONS
workspace-policy,path-utils,RELATED_TO
